ts,region,model_key,rung,attempt,backend,model,branch,src_sha,oracle_policy_sha,build,device_proof,kernels_launched,memcheck,racecheck,initcheck,compare_visible,compare_holdout,cpu_best_s,naive_stdpar_s,port_s,speedup,verdict,human_intervention,notes
codestral100-0011,ch04:step,codestral,omp_target,11,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-11,23e50d20990d,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Fixed array indexing errors in the stencil calculations to use the correct periodic boundaries. Changed data type
codestral100-0012,ch04:step,codestral,omp_target,12,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-12,bca517e662ba,414a8ca97a15,pass,pass,20,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Corrected the indexing in the periodic boundaries calculation within the loops.
codestral100-0013,ch04:step,codestral,omp_target,13,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-13,f9537ca88c5f,414a8ca97a15,fail,NA,NA,NA,NA,NA,NA,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Fixed the indexing in continuity update to use the just-updated u with old h.
codestral100-0014,ch04:step,codestral,omp_target,14,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-14,981129ed9490,414a8ca97a15,pass,pass,20,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Fixed the indexing in continuity update to use the just-updated u with old h.
codestral100-0015,ch04:step,codestral,omp_target,15,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-15,539c5620ec3f,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Fixed the indexing in the continuity equation to use `i` for both terms of the difference. The previous attempt u
codestral100-0016,ch04:step,codestral,omp_target,16,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-16,2a066bc0aa4b,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: The previous version of the code had an incorrect indexing in the stencil calculations due to a misunderstanding 
codestral100-0017,ch04:step,codestral,omp_target,17,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-17,bbb292230c04,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Fixed the indexing in the continuity update to use the just-updated u with old h.
codestral100-0018,ch04:step,codestral,omp_target,18,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-18,0a404f929612,414a8ca97a15,fail,NA,NA,NA,NA,NA,NA,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,
codestral100-0019,ch04:step,codestral,omp_target,19,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-19,b0a4e1d7a3a9,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,
codestral100-0020,ch04:step,codestral,omp_target,20,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-20,24d73e3515f1,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Fixed the continuity update's stencil to use correct periodic indices.
codestral100-0021,ch04:step,codestral,omp_target,21,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-21,2a9eeaf66caf,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,"NOTES: Applied OpenMP target offload to the kernel, mapped arrays and added explicit indexing in loops. Fixed array boun"
codestral100-0022,ch04:step,codestral,omp_target,22,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-22,14798077ab78,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Fixed the indexing in the computation of `duh_dx` to correctly use periodic boundaries for both `u` and `h`.
codestral100-0023,ch04:step,codestral,omp_target,23,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-23,0f764d9a3ba1,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Fixed the indexing in the continuity update loop to correctly use `i-2` instead of `i-1`.
codestral100-0024,ch04:step,codestral,omp_target,24,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-24,385fec429ded,414a8ca97a15,pass,pass,25,pass,pass,pass,fail,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Wrapped the OpenMP target regions in a !$omp target data region to map the arrays explicitly and fixed the typo i
codestral100-0025,ch04:step,codestral,omp_target,25,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-25,9f923a962ad6,414a8ca97a15,fail,NA,NA,NA,NA,NA,NA,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,
codestral100-0026,ch04:step,codestral,omp_target,26,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-26,f141c535350d,414a8ca97a15,fail,NA,NA,NA,NA,NA,NA,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Fixed the indices in the computation of dh_dx and duh_dx to match the periodic boundary conditions.
codestral100-0027,ch04:step,codestral,omp_target,27,openai,codestral:22b-v0.1-q4_0,attempt/codestral-omp_target-27,a9cb6d6b6495,414a8ca97a15,fail,NA,NA,NA,NA,NA,NA,NA,10.249963285999911,7.691156705999674,NA,NA,fail,0,NOTES: Fixed the indices in the continuity update (duh_dx calculation) to match the periodic boundary conditions.
